"Inkomensbronnen","Jaartal","Kenmerken_van_huishoudens","Particuliere_huishoudens_x1000","Totaal_inkomen_mln.euro","Gemiddeld_inkomen_1000.euro","Mediaan_inkomen_1000.euro","leeftijd_kostwinner","Gemiddeld_gestandaardiseerd_inkomen_x1000_euro","Inflatie"
"9 BRUTO-INKOMEN",2011,"Hoofdkostwinner: 25 tot 45 jaar",24634,160185,65,575,"Hoofdkostwinner: 25 tot 45 jaar",25,2.3
"9 BRUTO-INKOMEN",2012,"Hoofdkostwinner: 25 tot 45 jaar",24449,159823,654,575,"Hoofdkostwinner: 25 tot 45 jaar",25,2.5
"9 BRUTO-INKOMEN",2013,"Hoofdkostwinner: 25 tot 45 jaar",24225,159240,657,576,"Hoofdkostwinner: 25 tot 45 jaar",252,2.5
"9 BRUTO-INKOMEN",2014,"Hoofdkostwinner: 25 tot 45 jaar",23935,161606,675,583,"Hoofdkostwinner: 25 tot 45 jaar",262,1
"9 BRUTO-INKOMEN",2015,"Hoofdkostwinner: 25 tot 45 jaar",23666,157879,667,582,"Hoofdkostwinner: 25 tot 45 jaar",265,0.6
"9 BRUTO-INKOMEN",2016,"Hoofdkostwinner: 25 tot 45 jaar",23483,160886,685,596,"Hoofdkostwinner: 25 tot 45 jaar",277,0.3
"9 BRUTO-INKOMEN",2017,"Hoofdkostwinner: 25 tot 45 jaar",23457,165693,706,614,"Hoofdkostwinner: 25 tot 45 jaar",284,1.4
"9 BRUTO-INKOMEN",2018,"Hoofdkostwinner: 25 tot 45 jaar",2355,172346,732,638,"Hoofdkostwinner: 25 tot 45 jaar",291,1.7
"9 BRUTO-INKOMEN",2019,"Hoofdkostwinner: 25 tot 45 jaar",23763,183058,77,667,"Hoofdkostwinner: 25 tot 45 jaar",307,2.6
"9 BRUTO-INKOMEN",2020,"Hoofdkostwinner: 25 tot 45 jaar",24069,190910,793,694,"Hoofdkostwinner: 25 tot 45 jaar",318,1.3
"9 BRUTO-INKOMEN",2021,"Hoofdkostwinner: 25 tot 45 jaar",24248,200800,828,721,"Hoofdkostwinner: 25 tot 45 jaar",335,2.7
"9 BRUTO-INKOMEN",2022,"Hoofdkostwinner: 25 tot 45 jaar",24646,219975,893,779,"Hoofdkostwinner: 25 tot 45 jaar",356,10
"9 BRUTO-INKOMEN",2023,"Hoofdkostwinner: 25 tot 45 jaar",25291,243142,961,825,"Hoofdkostwinner: 25 tot 45 jaar",386,3.8
"9 BRUTO-INKOMEN",NA,"Hoofdkostwinner: 25 tot 45 jaar",25634,258931,101,871,"Hoofdkostwinner: 25 tot 45 jaar",406,NA
"14 BESTEEDBAAR INKOMEN",2011,"Hoofdkostwinner: 25 tot 45 jaar",24634,91821,373,343,"Hoofdkostwinner: 25 tot 45 jaar",25,2.3
"14 BESTEEDBAAR INKOMEN",2012,"Hoofdkostwinner: 25 tot 45 jaar",24449,90758,371,34,"Hoofdkostwinner: 25 tot 45 jaar",25,2.5
"14 BESTEEDBAAR INKOMEN",2013,"Hoofdkostwinner: 25 tot 45 jaar",24225,90557,374,34,"Hoofdkostwinner: 25 tot 45 jaar",252,2.5
"14 BESTEEDBAAR INKOMEN",2014,"Hoofdkostwinner: 25 tot 45 jaar",23935,93209,389,348,"Hoofdkostwinner: 25 tot 45 jaar",262,1
"14 BESTEEDBAAR INKOMEN",2015,"Hoofdkostwinner: 25 tot 45 jaar",23666,92661,392,352,"Hoofdkostwinner: 25 tot 45 jaar",265,0.6
"14 BESTEEDBAAR INKOMEN",2016,"Hoofdkostwinner: 25 tot 45 jaar",23483,96095,409,366,"Hoofdkostwinner: 25 tot 45 jaar",277,0.3
"14 BESTEEDBAAR INKOMEN",2017,"Hoofdkostwinner: 25 tot 45 jaar",23457,98295,419,374,"Hoofdkostwinner: 25 tot 45 jaar",284,1.4
"14 BESTEEDBAAR INKOMEN",2018,"Hoofdkostwinner: 25 tot 45 jaar",2355,101810,432,387,"Hoofdkostwinner: 25 tot 45 jaar",291,1.7
"14 BESTEEDBAAR INKOMEN",2019,"Hoofdkostwinner: 25 tot 45 jaar",23763,108434,456,404,"Hoofdkostwinner: 25 tot 45 jaar",307,2.6
"14 BESTEEDBAAR INKOMEN",2020,"Hoofdkostwinner: 25 tot 45 jaar",24069,113502,472,422,"Hoofdkostwinner: 25 tot 45 jaar",318,1.3
"14 BESTEEDBAAR INKOMEN",2021,"Hoofdkostwinner: 25 tot 45 jaar",24248,120257,496,445,"Hoofdkostwinner: 25 tot 45 jaar",335,2.7
"14 BESTEEDBAAR INKOMEN",2022,"Hoofdkostwinner: 25 tot 45 jaar",24646,129734,526,473,"Hoofdkostwinner: 25 tot 45 jaar",356,10
"14 BESTEEDBAAR INKOMEN",2023,"Hoofdkostwinner: 25 tot 45 jaar",25291,144423,571,506,"Hoofdkostwinner: 25 tot 45 jaar",386,3.8
"14 BESTEEDBAAR INKOMEN",NA,"Hoofdkostwinner: 25 tot 45 jaar",25634,153824,60,536,"Hoofdkostwinner: 25 tot 45 jaar",406,NA
