"leeftijd_kostwinner","Jaartal","Gemiddeld_gestandaardiseerd_inkomen_x1000_euro"
"Hoofdkostwinner: 25 tot 45 jaar","2011","25"
"Hoofdkostwinner: 25 tot 45 jaar","2012","25"
"Hoofdkostwinner: 25 tot 45 jaar","2013","25,2"
"Hoofdkostwinner: 25 tot 45 jaar","2014","26,2"
"Hoofdkostwinner: 25 tot 45 jaar","2015","26,5"
"Hoofdkostwinner: 25 tot 45 jaar","2016","27,7"
"Hoofdkostwinner: 25 tot 45 jaar","2017","28,4"
"Hoofdkostwinner: 25 tot 45 jaar","2018","29,1"
"Hoofdkostwinner: 25 tot 45 jaar","2019","30,7"
"Hoofdkostwinner: 25 tot 45 jaar","2020","31,8"
"Hoofdkostwinner: 25 tot 45 jaar","2021","33,5"
"Hoofdkostwinner: 25 tot 45 jaar","2022","35,6"
"Hoofdkostwinner: 25 tot 45 jaar","2023","38,6"
"Hoofdkostwinner: 25 tot 45 jaar","2024*","40,6"
